idCliente;fechaAlta;fechaNacimiento;genero;nombre;apellido;email;direccion;ciudad;referencia;provincia;fechaBaja;estado
12;5-1-2000;30/1/74;femenino;Valeria;Johnson;valeria.johnson@gmail.com;alsina 5831;biilinghurst;3 Referencia: pasillo,rejas verde. Entre: moreno y rivadavia;Buenos Aires;;
13;5-1-2000;6/11/36;masculino;Mateus;Gutierrez;mateus.gutierrez@gmail.com;Eva Duarte de Peron 545;Rio Grande;;Tierra del Fuego;;
14;8-1-2000;6/9/70;masculino;Carlos Alberto;Ticona;carlos_alberto.ticona@gmail.com;3 SN;28 De julio;;Chubut;;
15;9-1-2000;10/6/94;masculino;Arthur;Rocabado;arthur.rocabado@gmail.com;Fonrouge 4129;Villa Lugano;Referencia: Es una casa azul con un trueno de mediana edad afuera. Esta entre una casa amarilla y una naranja Entre: Zacate de Toboso y Matorral de Hojasen;Capital Federal;;
16;9-1-2000;20/9/96;masculino;Juan David;Ferretti;juan_david.ferretti@gmail.com;Mateo Pereyra 591;Santiago del Estero;2 Referencia: es la casa de atras;Santiago del Estero;;
17;9-1-2000;29/9/43;femenino;Eliana;Perez;eliana.perez@gmail.com;Ituzaingo SN;Garruchos;Referencia: A una cuadra de la plaza en la esquina;Corrientes;;
18;9-1-2000;1/9/80;masculino;Henri;Ponce;henri.ponce@gmail.com;Libertad 310;Belen de Escobar;3166 Referencia: barrio Cerrado El Canton- Islas 166 Entre: Avenida de los Lagos;Buenos Aires;;
19;9-1-2000;9/3/46;femenino;Yanira;Cabrera;yanira.cabrera@gmail.com;alvear 1304;Campana;;Buenos Aires;;
20;9-1-2000;20/10/94;masculino;Joaquin;Gutierrez;joaquin.gutierrez@gmail.com;COX 210;COMODORO RIVADAVIA;;Chubut;;
21;9-1-2000;31/7/66;femenino;Diana;Cordoba;diana.cordoba@gmail.com;Palacios 240;Coronel Suarez;Entre: Mitre y Lamadrid;Buenos Aires;;
22;9-1-2000;14/5/99;femenino;Celeste;Pellegrino;celeste.pellegrino@gmail.com;ade street 21;Misiones;;Misiones;;
23;10-1-2000;12/3/37;femenino;Celeste;Aguirre;celeste.aguirre@gmail.com;Cdad. de La Paz 353;palermo;209 Referencia: Para el showroom de Zaidah, dejar en la recepcion.;Capital Federal;;
24;10-1-2000;26/5/88;femenino;Layla;Maldonado;layla.maldonado@gmail.com;Rivadavia 738;Santiago del Estero;1B Referencia: En el caso de no encontrarme, tocar timbre sum y dejar paquete al encargado del edificio Entre: 5 y 6;Santiago del Estero;;
25;11-1-2000;18/11/98;masculino;Teodoro;Rocabado;teodoro.rocabado@gmail.com;francisco de gurruchaga 227;Salta;;Salta;;
26;11-1-2000;20/4/90;femenino;Olive;Quiroz;olive.quiroz@gmail.com;Yerbal 702;Caballito;Referencia: Se anuncian por la ventan de entregas sobre Yerbal - Atendemos de 11 a 16  Entre: Colpayo y Rojas;Capital Federal;;
27;12-1-2000;3/1/96;femenino;Lourdes;Espinoza;lourdes.espinoza@gmail.com;Mendoza 4866;La Lucila del Mar;Referencia: Casa Amarilla 3 Pisos, Fachada Porto Cafe Entre: Insurgentes y Cto. Rafael Martines de la Torre;Buenos Aires;;
28;12-1-2000;2/10/50;femenino;Sofia;Aranda;sofia.aranda@gmail.com;Pichincha 38;Balvanera;LOCAL Referencia: LOCAL;Capital Federal;;
29;12-1-2000;31/10/85;masculino;Paul;Russo;paul.russo@gmail.com;ade street 32;Misiones;;Misiones;;
30;13-1-2000;11/2/46;masculino;Leandro;Costa;leandro.costa@gmail.com;Esteban Merlo 4528;Caseros;Referencia: Porton Negro Timbre Blanco. De 9 a 17:00hs Entre: Cavassa y Magdalena;Buenos Aires;;
31;13-1-2000;13/12/33;masculino;Kevin;Peña;kevin.peña@gmail.com;Pasaje Parpal SN;Santa Fe;;Santa Fe;;
32;14-1-2000;17/10/39;masculino;Marco;Sepulveda;marco.sepulveda@gmail.com;unzaga norte 448;Santiago del Estero;Referencia: Rejas negras y en el frente 3 palmeras. Al lado de una casa celeste de 2 pisos Entre: Fournier y ferreyra;Santiago del Estero;;
33;14-1-2000;4/2/68;femenino;Aveline;Coronel;aveline.coronel@gmail.com;Larrea 3210;Lomas del Mirador;2 Referencia: Recinto Gris Sahuan Negro Entre: Francisco Javier Mina y Pedro Ascencio;Buenos Aires;;
34;14-1-2000;22/6/93;masculino;Gonzalo;Velasco;gonzalo.velasco@gmail.com;Carola Lorenzini 5362;Gonzalez Catan;Referencia: puerta color moztaza;Buenos Aires;;
35;16-1-2000;16/10/94;masculino;Jeffrey;Greco;jeffrey.greco@gmail.com;coronel pringles 176;Cordoba;local Entre: 24 de septiembre y 25 de mayo;Cordoba;;
36;16-1-2000;13/11/67;masculino;Jose Ignacio;Lamas;jose_ignacio.lamas@gmail.com;Cuerdas del Cielo 2758;Neuquen;Referencia: Barrio Mercantil;Neuquen;;
37;16-1-2000;10/10/73;indefinido;Ariana;Rossi;ariana.rossi@gmail.com;ADE STREET 32;Misiones;;Misiones;;
38;17-1-2000;30/12/99;masculino;Gustavo;Tejada;gustavo.tejada@gmail.com;Lizandro De La Torre SN;Santiago del Estero;;Santiago del Estero;;
39;18-1-2000;9/8/68;masculino;Julio;Herrera;julio.herrera@gmail.com;Federico Lacroze SN;Chacarita;Referencia:  Entre: Esquiu y Mendoza;Capital Federal;;
40;18-1-2000;29/8/88;femenino;Belen;Lujan;belen.lujan@gmail.com;Almirante Brown 3660;La Lucila;Entre: Bermudez y Ramseyer;Buenos Aires;;
41;18-1-2000;13/9/78;masculino;Jerôme;Ramos;jerôme.ramos@gmail.com;Uriburu 353;Balvanera;1 piso Referencia: 1 piso  Entre: corrientes y sarmiento;Capital Federal;;
42;18-1-2000;17/11/97;masculino;Brian;Basile;brian.basile@gmail.com;Florencio Sanchez 2938;Comodoro Rivadavia;Referencia: A Una Calle De La Bodega Aurrera Entre: Entre Valle De Yukon Y Valle De Zapatas;Chubut;;
43;19-1-2000;14/6/90;femenino;Emilia;Parker;emilia.parker@gmail.com;Rawson 540;San Andres de Giles;;Buenos Aires;;
44;20-1-2000;1/11/72;femenino;Amina;Santa Cruz;amina.santa_cruz@gmail.com;Italia 1123;Alcorta;- Referencia: Casa con rejas negras Entre: Falucho y Sargento Cabral;Santa Fe;;
45;20-1-2000;30/5/62;masculino;Mauricio;Duarte;mauricio.duarte@gmail.com;Corrientes 1453;Villaguay;Referencia: CASA CON CHIMENEA REJAS NEGRAS;Entre Rios;;
46;20-1-2000;17/7/83;femenino;Paloma;Stewart;paloma.stewart@gmail.com;Uruguay 3359;San Fernando;barrio cerrado el trebol lote 25 Referencia: frebte a ub. lavadero de autos;Buenos Aires;;
47;20-1-2000;26/3/76;masculino;Rafael;Poma;rafael.poma@gmail.com;7 carlos gardel 3754;Berisso;;Buenos Aires;;
48;21-1-2000;11/7/99;masculino;Wilfredo;Caballero;wilfredo.caballero@gmail.com;Uspallata 866;Barracas;;Capital Federal;;
49;23-1-2000;10/1/78;masculino;Jean;Fontana;jean.fontana@gmail.com;Carranza 596;Santiago del Estero;Referencia: Fachada Azul A Lado De Un Taller De Hojalateria Entre: Pluton y Neptuno;Santiago del Estero;;
50;23-1-2000;5/1/55;masculino;Carlos David;Urquiza;carlos_david.urquiza@gmail.com;Camino de la cuchilla 339;Oro verde;Entre: Las rosas y Los guayabos;Entre Rios;;
51;23-1-2000;26/2/63;femenino;Skylar;Guzman;skylar.guzman@gmail.com;barrio aeropuerto el palomar 288;Santiago del Estero;;Santiago del Estero;;
52;24-1-2000;16/8/75;femenino;Isabel;Cervantes;isabel.cervantes@gmail.com;FABIAN ONSARI 432;Wilde;;Buenos Aires;;
53;25-1-2000;14/5/73;femenino;Yolanda;Cordero;yolanda.cordero@gmail.com;Av. California 2385;Barracas;LOCAL;Capital Federal;;
54;25-1-2000;22/6/41;masculino;Giorgio;Pellegrino;giorgio.pellegrino@gmail.com;Avenida avenida Brigido teran 41;San Miguel de Tucuman;Referencia: puerta blanca madera. tocar timbre Entre: Benjamin Araoz y Charcas;Tucuman;;
55;26-1-2000;4/12/77;femenino;Kaya;Aguirre;kaya.aguirre@gmail.com;Pje Enrique Torino SN;Salta;Referencia: Porton negro;Salta;;
56;26-1-2000;5/1/35;femenino;Antonella;Rojo;antonella.rojo@gmail.com;Mariano Fragueiro 1618;Cordoba;;Cordoba;;
57;26-1-2000;5/8/42;femenino;Florencia;Hernandez;florencia.hernandez@gmail.com;Piso 8 SN;Misiones;;Misiones;;
58;27-1-2000;27/4/38;masculino;Matias;Aguilar;matias.aguilar@gmail.com;70 173;La Plata;NA Referencia: bodega porton blanco con letrero se renta arriba lado izquierdo de calle abierto de l a v 8am-6pm sabado 8 a 2 Entre: esta frente a colegio decroly;Buenos Aires;;
59;27-1-2000;1/12/84;femenino;Zaida;Novoa;zaida.novoa@gmail.com;24 de September 0939;Santiago del Estero;Referencia: Fallada color Rojo, Cortina metalica blanca. 3311186046 Entre: Magnolia y Paseo de los adolescentes;Santiago del Estero;;
60;27-1-2000;31/10/38;masculino;Alessio;Figueroa;alessio.figueroa@gmail.com;Los lapachos 4425;Rivadavia;Ninguno  Referencia: Casa con verjas marrones de madera, que solo bordean el jardin y cochera al frente de la entrada principal de madera Entre: Los fresnos  y Espejo;San Juan;;
61;27-1-2000;11/9/38;femenino;Brenda;Harris;brenda.harris@gmail.com;Libertad 350;Libertador Gral. San Martin;;Jujuy;;
62;28-1-2000;6/6/89;masculino;Enrique;Roldan;enrique.roldan@gmail.com;Los Paraisos 125;Salta;230 Referencia: A lado del fraccionamiento Los Olivos;Salta;;
63;28-1-2000;3/12/84;femenino;Nelida;Olivos;nelida.olivos@gmail.com;Wilde 4626;Jose C. Paz;;Buenos Aires;;
64;29-1-2000;9/12/77;masculino;Fabien;Vargas;fabien.vargas@gmail.com;weizman 1533;Moron;Referencia: Casa cafe con amarillo  Entre: Jamaica  y Loreto;Buenos Aires;;
65;29-1-2000;6/10/85;masculino;Felipe;Madrigal;felipe.madrigal@gmail.com;Corrientes 841;Santiago del Estero;6 Referencia: casa azul zaguan verde Entre: Av Moneda y Temascalapa;Santiago del Estero;;
66;29-1-2000;13/6/43;masculino;Bruno;Testa;bruno.testa@gmail.com;Guemes 663 663;Misiones;Casi Ruta 12;Misiones;;
67;29-1-2000;25/1/82;masculino;Alberto;Bianchi;alberto.bianchi@gmail.com;Belgrano 455;Tafi viejo;;Tucuman;;
68;29-1-2000;28/4/42;femenino;Emery;Iturbe;emery.iturbe@gmail.com;Alsina 41;Santiago del Estero;;Santiago del Estero;;
69;30-1-2000;5/8/82;femenino;Lucia;Lopez;lucia.lopez@gmail.com;Carlos Avanzi 749;Alta Gracia;Referencia: Llamar 2216185342. Si No Hay Gente Dejar En 1433;Cordoba;;
70;30-1-2000;12/12/40;masculino;Daniel;Ybarra;daniel.ybarra@gmail.com;Roque Saenz peña 1941;Santa Fe;6 B  Entre: Maure y Jorge Newbery - 476;Santa Fe;;
71;30-1-2000;4/9/63;femenino;Lujan;Reynoso;lujan.reynoso@gmail.com;Pasaje parpal 1439;Santa Fe;;Santa Fe;;
72;30-1-2000;4/4/66;masculino;Pierre;Alarcon;pierre.alarcon@gmail.com;Av. Colon (s) 855;Santiago del Estero;;Santiago del Estero;;
73;31-1-2000;11/4/88;femenino;Ayla;Romero;ayla.romero@gmail.com;Avenida Cramer 2049;Belgrano;;Capital Federal;;
74;31-1-2000;21/7/41;masculino;Marcos;Suarez;marcos.suarez@gmail.com;Italia 2128;Gerli;Referencia: Casa En La Esquina Entre: Sargento Cabral y Ushuaia;Buenos Aires;;
75;1-2-2000;4/7/49;masculino;Lucas;Gutierrez;lucas.gutierrez@gmail.com;Mza g lote 3 50viv SN;Capital;Referencia: Es una tienda de peliculas, Centauros Video Entre: Av Juarez y Pedro Moreno;Santiago del Estero;;
76;2-2-2000;16/12/97;femenino;Vanessa;Toledo;vanessa.toledo@gmail.com;Francisco calatrava 13;Comodoro Rivadavia;Referencia: esquina con Dario Urzua;Chubut;;
77;2-2-2000;10/7/62;femenino;Orla;Garcia;orla.garcia@gmail.com;Juana manuela gorriti sur 154;Santiago del Estero;Casa Esquina;Santiago del Estero;;
78;2-2-2000;7/6/79;masculino;Carlos Eduardo;D'Amato;carlos_eduardo.d'amato@gmail.com;Cno gral belgrano 3075;Lanus este;;Buenos Aires;;
79;3-2-2000;31/12/66;masculino;Facundo;Rizzi;facundo.rizzi@gmail.com;Tellier 3163;Merlo;Entre Rojas Y Democracia;Buenos Aires;;
80;3-2-2000;14/6/33;masculino;Leonardo;Tapia;leonardo.tapia@gmail.com;AV. JUAN B. JUSTO 3836;LA PATERNAL;Local De Ventas Referencia: Los horarios de recepcion es de 8.30 a 12.30 y de 13.30 a 16.30hs.;Capital Federal;;
81;3-2-2000;1/2/78;masculino;Enzo;Sanabria;enzo.sanabria@gmail.com;Avenida San Juan 2705;San Cristobal;Referencia: al lado df planta revision tecnica;Capital Federal;;
82;4-2-2000;18/11/52;masculino;Ignacio;Yañez;ignacio.yañez@gmail.com;Curuzucuatia 413;Merlo;;Buenos Aires;;
83;5-2-2000;3/2/95;femenino;Helena;Rizzi;helena.rizzi@gmail.com;avenida eva peron 5029;CABA;Entre: guardia nacional y pasaje cuyo;Capital Federal;;
84;5-2-2000;12/5/39;masculino;Christophe;Narvaez;christophe.narvaez@gmail.com;Blas Parera 7823;Santa Fe;;Santa Fe;;
85;6-2-2000;24/12/84;masculino;Marcelo;Romano;marcelo.romano@gmail.com;Paraguy 935;Misiones;;Misiones;;
86;7-2-2000;6/1/74;femenino;Suri;Roldan;suri.roldan@gmail.com;Mendoza 457;Moron;Referencia: Casa Azul 2 Pisos Entre: Elias Piña y Niño Artillero;Buenos Aires;;
87;7-2-2000;8/6/47;femenino;Penelope;Turner;penelope.turner@gmail.com;854 2428;San Francisco Solano;;Buenos Aires;;
88;7-2-2000;6/7/71;masculino;Lucas;Valdez;lucas.valdez@gmail.com;San Juan 84;Santiago del Estero;;Santiago del Estero;;
89;8-2-2000;29/3/47;femenino;Isotta;Brown;isotta.brown@gmail.com;Dante 4371;Caseros;Dto fondo Referencia: Dto fondo Entre: Asamblea y J perdiguero;Buenos Aires;;
90;9-2-2000;20/8/98;masculino;Roberto;Rizzi;roberto.rizzi@gmail.com;Av. Triunvirato 5395;Villa Urquiza;Quiosco Libreria;Capital Federal;;
91;9-2-2000;22/10/43;femenino;Isabella;Moya;isabella.moya@gmail.com;Eva duarte de peron 1796;El Calafate;Referencia: casa esquina Entre: Eva duarte de peron y comandante Luis piedra buena;Santa Cruz;;
92;9-2-2000;29/12/32;femenino;Romina;Rodriguez;romina.rodriguez@gmail.com;Juan Broll 1850;Ita Ibate;Referencia: Enfrente de una casa de dos pisos color verde Entre: Colomer y Fresnos;Corrientes;;
93;10-2-2000;1/12/76;femenino;Olive;Gomez;olive.gomez@gmail.com;Uriburu 171;Balvanera;Piso 7 Departamento Referencia: Piso 7 Departamento C Entre: Bartolome Mitre y Juan Domingo Peron;Capital Federal;;
94;11-2-2000;4/12/46;masculino;Sebastian;Silvestri;sebastian.silvestri@gmail.com;Gomez cornet barrio caceres 1142;Santiago del Estero;Entre: Pueyredon y General Espejo;Santiago del Estero;;
95;11-2-2000;25/5/69;masculino;Gerardo;Toledo;gerardo.toledo@gmail.com;Estados Unidos 5180;Tortuguitas;PARQUE INDUSTRIAL Referencia: PARQUE INDUSTRIAL, preguntar por Deventas o Agro y Tec Entre: Luis Sulivan y Volta;Buenos Aires;;
96;11-2-2000;31/5/65;femenino;Lila;Aldana;lila.aldana@gmail.com;Linneo 1854;Paternal;Referencia: Lunes a viernes de 9 a 18hs sabados de 11 a 14hs Entre: San Martin y Espinosa;Capital Federal;;
97;12-2-2000;16/5/71;masculino;Nicolas;Fariña;nicolas.fariña@gmail.com;PEDRO NOGUERA 1001;SAN ANTONIO DE PADUA;Referencia: si no estoy en mi domicilio entregar a Mercedes Guillen Entre: caporales y Amatitan;Buenos Aires;;
98;12-2-2000;28/3/83;masculino;Lucas;Aranda;lucas.aranda@gmail.com;Luis Fontana 53;Formosa;Nave1 Referencia: Nave1;Formosa;;
99;12-2-2000;24/8/60;femenino;Rafaela;Gallardo;rafaela.gallardo@gmail.com;Gdor Ugarte 1629;Olivos;2do A Entre: Juan de Garay y Domingo F. Sarmiento;Buenos Aires;;
100;12-2-2000;22/11/98;femenino;Nora;Narvaez;nora.narvaez@gmail.com;Av Casey 421;Pigüe;8D Referencia: 8D Entre: lavalle y mitre;Buenos Aires;;
101;12-2-2000;23/12/97;femenino;Isotta;Santillan;isotta.santillan@gmail.com;Fray Jose G. W. Achaval 2508;Remedios De Escalada;;Buenos Aires;;
102;12-2-2000;24/6/77;femenino;Kalila;Madrigal;kalila.madrigal@gmail.com;chacra 154 edf r depto p escalera 16;Misiones;;Misiones;;
103;13-2-2000;26/4/36;femenino;Manuela;Monti;manuela.monti@gmail.com;AV. BLAS PARERA 2761 Dpto:;Misiones;;Misiones;;
104;13-2-2000;7/7/97;femenino;Dalma;Gallardo;dalma.gallardo@gmail.com;Gemes 311;Santiago del Estero;;Santiago del Estero;;
105;13-2-2000;30/4/92;femenino;Manuela;Condori;manuela.condori@gmail.com;Alberdi 301;Las Heras;Referencia: Barrio Peron Entre: Yrigoyen y Estrada;Santa Cruz;;
106;14-2-2000;27/3/70;femenino;Anika;Tellez;anika.tellez@gmail.com;Calle 313 13;General Pico;Referencia: Fachada color naranja, porton blanco. Al lado una barberia. Entre: Cacama y Cuicacalli;La Pampa;;
107;14-2-2000;20/10/37;femenino;Rafaela;Sanabria;rafaela.sanabria@gmail.com;Erasmie 531;obera;dpto 2;Misiones;;
108;14-2-2000;13/4/42;masculino;Emilio;Jaramillo;emilio.jaramillo@gmail.com;terrada 468;caba;Edificio MZ 73, APTO 305.;Capital Federal;;
109;14-2-2000;20/3/45;femenino;Lior;Gomez;lior.gomez@gmail.com;Corrientes 5652;Villa Crespo;;Capital Federal;;
110;14-2-2000;12/1/66;masculino;Alan;Zabala;alan.zabala@gmail.com;Juan Queirel 5059;Misiones;;Misiones;;
111;15-2-2000;27/7/35;masculino;Antonio;Pizarro;antonio.pizarro@gmail.com;Achala 2696 2696;Villa Luzuriaga;Achala 2696 Referencia: Provincia de Buenos Aires Entre: Achala 2696 y Monseñor Marcon;Buenos Aires;;
112;15-2-2000;13/1/97;femenino;Larissa;Montenegro;larissa.montenegro@gmail.com;Calle Miguel de Salcedo 3061;Castelar;Ap 1;Buenos Aires;;
113;16-2-2000;25/1/59;masculino;Nicolas;Reyes;nicolas.reyes@gmail.com;Viamonte 640;Capital Federal;10 Referencia: Dejar En Porteria De Planta Baja oor favor;Capital Federal;;
114;16-2-2000;1/4/61;masculino;Gustavo;Juarez;gustavo.juarez@gmail.com;dr gregorio alvarez 36;Santiago del Estero;Esquina Almafuerte (ex calle 20) Referencia: Barrio Las Orquideas, frente al Instituto del Seguro Entre: 20a y Almafuerte;Santiago del Estero;;
115;16-2-2000;22/11/94;femenino;Nyla;Leon;nyla.leon@gmail.com;Armada Argentina 1968;Rada Tilly;;Chubut;;
116;16-2-2000;4/8/71;femenino;Maeva;De Angelis;maeva.de_angelis@gmail.com;Benito Quinquela Martin 1796;Barracas;Referencia: Local Repuestos De Motos 9 A 18:30, De L A V Entregar En Lo Posible Ahi. Sino comunicarse al 1122888119;Capital Federal;;
117;16-2-2000;12/1/94;femenino;Lucia;Cardenas;lucia.cardenas@gmail.com;San Martin 6008;Rio Ceballos;Referencia: gendarmeria;Cordoba;;
118;16-2-2000;4/7/77;masculino;Marc;Molinas;marc.molinas@gmail.com;Alvear 92;Santiago del Estero;;Santiago del Estero;;
119;17-2-2000;21/7/54;femenino;Ayelen;Pagano;ayelen.pagano@gmail.com;Jose Hernandez 1130;Playa union;;Chubut;;
120;18-2-2000;25/5/73;masculino;Tommaso;Tellez;tommaso.tellez@gmail.com;Av Caseros 3900;Capital;;Capital Federal;;
121;18-2-2000;14/5/51;masculino;Juan Manuel;Romano;juan_manuel.romano@gmail.com;Av.San Martin Oeste 2759;Eldorado;;Misiones;;
122;19-2-2000;20/5/37;masculino;Massimo;Stewart;massimo.stewart@gmail.com;Cortada Falucho 2552;Santa Fe;Departamento412;Santa Fe;;
123;19-2-2000;22/12/74;femenino;Victoria;Urquiza;victoria.urquiza@gmail.com;Peatonal 27 2;Santiago del Estero;29 Referencia: edificios rojos con blanco y porton blanco, se encuentra frente a la secundaria #345 de mayo#34 Entre: periferico y 115 A- oriente;Santiago del Estero;;
124;19-2-2000;23/2/97;femenino;Elena;Bustos;elena.bustos@gmail.com;Republica de Sirisa 928;Santiago del Estero;Referencia: Puede Ser Entregada En La Casa De Un Lado Tmbien Con La Señora Evelia Miramontes Entre: Ramon Rayon y Amado Nervo;Santiago del Estero;;
125;19-2-2000;18/12/97;masculino;Hugo;Aguilar;hugo.aguilar@gmail.com;Manzana D lote 1 peatonal 29;Santiago del Estero;;Santiago del Estero;;
126;19-2-2000;12/2/87;femenino;Francesca;Cusi;francesca.cusi@gmail.com;Gibraltar 3278;Williams Morris;;Buenos Aires;;
127;21-2-2000;28/9/85;masculino;Ivan;Urquiza;ivan.urquiza@gmail.com;san martin 150;Maipu;Referencia: argentina Entre: cancha del salto;Mendoza;;
128;21-2-2000;17/6/35;masculino;Franco;Bazan;franco.bazan@gmail.com;CAP JOSE I SIERRA 358;SAN JOSE DE METAN;1 Referencia: Fachada Blanca - Deyac Radiadores. Horario de 8:00 am a 18:00 Lunes a viernes y Sabados de 9:00 am a 13:30 horas. Entre: ENEBRO y ENEBRO;Salta;;
129;21-2-2000;27/3/99;femenino;Elisa;Morris;elisa.morris@gmail.com;Calle 1 2389;San Clemente Del Tuyu;2 Referencia: CALLE CERRADA ENFRENTE DEL METROBUS RIO MAYO, EN LA ESQUINA HAY UN LOCAL DE MATERIALES ELECTRICOS ES UN EDIFICIO DE COLOR BLANCO Entre: AV RIO MAYO y PLAZA TENEXPA;Buenos Aires;;
130;22-2-2000;19/10/39;masculino;Jean;King;jean.king@gmail.com;Calle 143 1442;Berazategui;Referencia: Cerca de la Estacion de Bomberos Entre: 2a Avenida y 4a Avenida;Buenos Aires;;
131;22-2-2000;13/1/77;masculino;Valentin;Rivero;valentin.rivero@gmail.com;Cuenca 5010;Ezspeleta;Referencia: Casa De Ladrillos;Buenos Aires;;
132;22-2-2000;13/12/70;femenino;Alice;Brizuela;alice.brizuela@gmail.com;Manuel Alberti 1187;Santiago del Estero;Referencia: Frente a las canchas;Santiago del Estero;;
133;22-2-2000;23/7/66;masculino;Felipe;Tejada;felipe.tejada@gmail.com;Alvarez Jonte 880;Salta;;Salta;;
134;23-2-2000;7/11/90;femenino;Juana;Nuñez;juana.nuñez@gmail.com;Calle 26 1260;Las Parejas;Casa;Santa Fe;;
135;23-2-2000;5/5/74;masculino;Emilio;Ayala;emilio.ayala@gmail.com;Mendoza 365;Rosario;103 Referencia: ES EN PASTELERIA DE LOS POBRES Entre: Emiliano Zapata y 16 De Septiembre;Santa Fe;;
136;23-2-2000;24/11/57;femenino;Suri;Zuñiga;suri.zuñiga@gmail.com;Uruguay 926;Santo tome;Piso 1, Departamento 1;Corrientes;;
137;23-2-2000;22/11/58;femenino;Serena;Ortiz;serena.ortiz@gmail.com;Sarmiento 77;Santiago del Estero;;Santiago del Estero;;
138;24-2-2000;3/11/80;masculino;Lucas;Sarmiento;lucas.sarmiento@gmail.com;Laprida 840;Salta;Referencia: Hay una tienda chiquita en la esquina. Tiene que llamar por favor antes de entregar el pedido porque esta cerrada. Entre: entre emiliano zapata y rio armeria;Salta;;
139;24-2-2000;20/8/56;femenino;Natalia;Medina;natalia.medina@gmail.com;Dorrego 465;Chivilcoy;Entre: Jose Igeniero y Av Guemes;Buenos Aires;;
140;24-2-2000;23/4/59;masculino;Oscar;Miller;oscar.miller@gmail.com;Pedro pablo olaechea 1180;Santiago del Estero;Ra Store;Santiago del Estero;;
141;25-2-2000;19/8/48;femenino;Alina;Lucero;alina.lucero@gmail.com;Prince 1051;General Rodriguez;;Buenos Aires;;
142;26-2-2000;1/1/76;masculino;Miguel;Cordero;miguel.cordero@gmail.com;Rio Salado 10;Santa Isabel;Referencia: Cuernavaca Morelos;La Pampa;;
143;26-2-2000;17/11/99;femenino;Julieta;Aguilar;julieta.aguilar@gmail.com;Av.4 n 2090 2090;Villa Gesell;;Buenos Aires;;
144;26-2-2000;17/7/56;masculino;Matheus;Plata;matheus.plata@gmail.com;25 de May 0429;Salta;;Salta;;
145;27-2-2000;14/5/83;femenino;Eliana;Barreto;eliana.barreto@gmail.com;serrano 888;Villa Crespo;;Capital Federal;;
146;27-2-2000;11/11/89;masculino;Joaquim;Rivas;joaquim.rivas@gmail.com;San Martin 209;Santiago del Estero;;Santiago del Estero;;
147;28-2-2000;28/4/31;masculino;Teodoro;Aguirre;teodoro.aguirre@gmail.com;Manuel savio 2201;Pilar;Lote 41 Referencia: Barrio Cerrado Segundas Colinas;Buenos Aires;;
148;28-2-2000;2/10/44;femenino;Emma;De Santis;emma.de_santis@gmail.com;Bayle 928;Haedo;"Referencia: Polo Industrial General Rodriguez Nave 2 ""la Casa Del Sonido""";Buenos Aires;;
149;28-2-2000;25/11/42;femenino;Ivana;Williams;ivana.williams@gmail.com;Corrientes SN;Santa rosa De Calamuchita;;Cordoba;;
150;28-2-2000;6/11/95;masculino;Juan Pablo;Narvaez;juan_pablo.narvaez@gmail.com;Demostenes 3059;Moreno;;Buenos Aires;;
